idx,Symbol,avg,Date,Open,High,Low,Close,date,time,hour,ampm,ts
1512,,9250.244999999999,,,,,,Wed Jun 19 2019 23:00:00 GMT+0100 (British Summer Time),11-PM,23,PM,
1513,,9228.955,,,,,,Wed Jun 19 2019 22:00:00 GMT+0100 (British Summer Time),10-PM,22,PM,
1514,,9180.68,,,,,,Wed Jun 19 2019 21:00:00 GMT+0100 (British Summer Time),09-PM,21,PM,
1515,,9140.39,,,,,,Wed Jun 19 2019 20:00:00 GMT+0100 (British Summer Time),08-PM,20,PM,
1516,,9120.665,,,,,,Wed Jun 19 2019 19:00:00 GMT+0100 (British Summer Time),07-PM,19,PM,
1517,,9123.33,,,,,,Wed Jun 19 2019 18:00:00 GMT+0100 (British Summer Time),06-PM,18,PM,
1518,,9129.654999999999,,,,,,Wed Jun 19 2019 17:00:00 GMT+0100 (British Summer Time),05-PM,17,PM,
1519,,9104.825,,,,,,Wed Jun 19 2019 16:00:00 GMT+0100 (British Summer Time),04-PM,16,PM,
1520,,9073.1,,,,,,Wed Jun 19 2019 15:00:00 GMT+0100 (British Summer Time),03-PM,15,PM,
1521,,9093.1,,,,,,Wed Jun 19 2019 14:00:00 GMT+0100 (British Summer Time),02-PM,14,PM,
1522,,9106.635,,,,,,Wed Jun 19 2019 13:00:00 GMT+0100 (British Summer Time),01-PM,13,PM,
1523,,9110.96,,,,,,Thu Jun 20 2019 00:00:00 GMT+0100 (British Summer Time),12-PM,24,PM,
1524,,9130.415,,,,,,Wed Jun 19 2019 11:00:00 GMT+0100 (British Summer Time),11-AM,11,AM,
1525,,9117.08,,,,,,Wed Jun 19 2019 10:00:00 GMT+0100 (British Summer Time),10-AM,10,AM,
1526,,9134.345,,,,,,Wed Jun 19 2019 09:00:00 GMT+0100 (British Summer Time),09-AM,9,AM,
1527,,9164.689999999999,,,,,,Wed Jun 19 2019 08:00:00 GMT+0100 (British Summer Time),08-AM,8,AM,
1528,,9156.84,,,,,,Wed Jun 19 2019 07:00:00 GMT+0100 (British Summer Time),07-AM,7,AM,
1529,,9157.64,,,,,,Wed Jun 19 2019 06:00:00 GMT+0100 (British Summer Time),06-AM,6,AM,
1530,,9168.665,,,,,,Wed Jun 19 2019 05:00:00 GMT+0100 (British Summer Time),05-AM,5,AM,
1531,,9152.295,,,,,,Wed Jun 19 2019 04:00:00 GMT+0100 (British Summer Time),04-AM,4,AM,
1532,,9141.53,,,,,,Wed Jun 19 2019 03:00:00 GMT+0100 (British Summer Time),03-AM,3,AM,
1533,,9141.39,,,,,,Wed Jun 19 2019 02:00:00 GMT+0100 (British Summer Time),02-AM,2,AM,
1534,,9150.165,,,,,,Wed Jun 19 2019 01:00:00 GMT+0100 (British Summer Time),01-AM,1,AM,
1535,,9121.314999999999,,,,,,Wed Jun 19 2019 12:00:00 GMT+0100 (British Summer Time),12-AM,12,AM,
1536,,9049.55,,,,,,Tue Jun 18 2019 23:00:00 GMT+0100 (British Summer Time),11-PM,23,PM,
1537,,9021.42,,,,,,Tue Jun 18 2019 22:00:00 GMT+0100 (British Summer Time),10-PM,22,PM,
1538,,9072.515,,,,,,Tue Jun 18 2019 21:00:00 GMT+0100 (British Summer Time),09-PM,21,PM,
1539,,9096.695,,,,,,Tue Jun 18 2019 20:00:00 GMT+0100 (British Summer Time),08-PM,20,PM,
1540,,9091.845000000001,,,,,,Tue Jun 18 2019 19:00:00 GMT+0100 (British Summer Time),07-PM,19,PM,
1541,,9080.630000000001,,,,,,Tue Jun 18 2019 18:00:00 GMT+0100 (British Summer Time),06-PM,18,PM,
1542,,9027.92,,,,,,Tue Jun 18 2019 17:00:00 GMT+0100 (British Summer Time),05-PM,17,PM,
1543,,9045.62,,,,,,Tue Jun 18 2019 16:00:00 GMT+0100 (British Summer Time),04-PM,16,PM,
1544,,9101.175,,,,,,Tue Jun 18 2019 15:00:00 GMT+0100 (British Summer Time),03-PM,15,PM,
1545,,9144.224999999999,,,,,,Tue Jun 18 2019 14:00:00 GMT+0100 (British Summer Time),02-PM,14,PM,
