Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT
2019-08-13 06-PM,BTCUSDT,10910,10958.87,10882.13,10925.37,1105.72,12080784.85
2019-08-13 05-PM,BTCUSDT,10850,10935.93,10788.45,10910,3020.41,32806359.69
2019-08-13 04-PM,BTCUSDT,10951.09,10993,10850,10850,2357.78,25740945.71
2019-08-13 03-PM,BTCUSDT,11000.17,11024.57,10921,10951.09,2000.39,21954343.98
2019-08-13 02-PM,BTCUSDT,11152.52,11152.52,10911,11000.17,5458.14,60252668.31
2019-08-13 01-PM,BTCUSDT,11253.83,11269.62,11150,11152.52,2918.86,32718259.34
2019-08-13 12-PM,BTCUSDT,11280.39,11298.93,11250,11253.83,654.17,7371427.35
2019-08-13 11-AM,BTCUSDT,11260.02,11309.98,11240,11280.39,896.48,10114964.27
2019-08-13 10-AM,BTCUSDT,11302.77,11310.73,11200,11260.02,2089.63,23525692.98
2019-08-13 09-AM,BTCUSDT,11347.1,11349.28,11255.01,11302.77,1631.4,18433278.8
2019-08-13 08-AM,BTCUSDT,11364.96,11364.96,11326,11347.1,565.8,6416881.08
2019-08-13 07-AM,BTCUSDT,11363.33,11388.81,11311,11364.96,1377.86,15645401.55
2019-08-13 06-AM,BTCUSDT,11393,11393,11361,11363.33,381.81,4343721.6
2019-08-13 05-AM,BTCUSDT,11353.07,11394,11346.7,11393,619.2,7037666.2
2019-08-13 04-AM,BTCUSDT,11394.06,11402.39,11350,11353.07,570.32,6482416.59
2019-08-13 03-AM,BTCUSDT,11393.18,11403.15,11370,11394.06,387.16,4405999.98
2019-08-13 02-AM,BTCUSDT,11399.06,11429.96,11383.3,11393.18,336.93,3843857.8
2019-08-13 01-AM,BTCUSDT,11427.68,11456.16,11399,11399.06,428.26,4891800.85
2019-08-13 12-AM,BTCUSDT,11396.08,11435.54,11355.99,11427.68,610.35,6954726.39
2019-08-12 11-PM,BTCUSDT,11418.78,11426.83,11380.39,11396.08,342.97,3909560.13
2019-08-12 10-PM,BTCUSDT,11397.93,11450.86,11375.28,11418.78,542.96,6196097.79
2019-08-12 09-PM,BTCUSDT,11438.14,11452.75,11395,11397.93,409.19,4672977.87
2019-08-12 08-PM,BTCUSDT,11443.89,11474.03,11382.56,11438.14,813.26,9308300.35
2019-08-12 07-PM,BTCUSDT,11419,11449.15,11395.57,11443.89,509.92,5825173.51
2019-08-12 06-PM,BTCUSDT,11415.14,11429.77,11385.48,11419,458.3,5226352.78
2019-08-12 05-PM,BTCUSDT,11410.12,11441,11390,11415.14,684.83,7818725.4
2019-08-12 04-PM,BTCUSDT,11399.11,11441.03,11375,11410.12,963.02,10982543.81
2019-08-12 03-PM,BTCUSDT,11380.48,11400,11340,11399.11,672.14,7647921.11
2019-08-12 02-PM,BTCUSDT,11379.18,11402.83,11361.42,11380.48,521.18,5934175.73
2019-08-12 01-PM,BTCUSDT,11397.54,11412.51,11357,11379.18,799.34,9096983.31
2019-08-12 12-PM,BTCUSDT,11328.01,11425,11235.32,11397.54,1657.41,18828481.01
2019-08-12 11-AM,BTCUSDT,11379.51,11394.23,11305.55,11328.01,896.51,10168243.59
2019-08-12 10-AM,BTCUSDT,11357.8,11399.8,11350,11379.51,565.17,6430176.56
2019-08-12 09-AM,BTCUSDT,11371.91,11391.35,11343,11357.8,546.71,6216727.0
2019-08-12 08-AM,BTCUSDT,11411.97,11415.01,11313.14,11371.91,970.66,11021222.23
2019-08-12 07-AM,BTCUSDT,11380.99,11440.03,11343.13,11411.97,635.42,7232285.47
2019-08-12 06-AM,BTCUSDT,11399,11414.42,11340,11380.99,791.37,9005976.08
2019-08-12 05-AM,BTCUSDT,11435.95,11453.2,11371.15,11399,664.24,7576153.04
2019-08-12 04-AM,BTCUSDT,11446.44,11471.29,11420,11435.95,390.8,4475591.03
2019-08-12 03-AM,BTCUSDT,11450,11465,11410,11446.44,654.81,7494911.65
2019-08-12 02-AM,BTCUSDT,11494.76,11499,11420.06,11450,483.14,5540002.69
2019-08-12 01-AM,BTCUSDT,11480.8,11539.3,11463.74,11494.76,469.44,5398186.75
2019-08-12 12-AM,BTCUSDT,11549.97,11577.89,11450,11480.8,912.2,10495847.17
2019-08-11 11-PM,BTCUSDT,11514.18,11599.98,11441.01,11549.97,1359.48,15674811.19
2019-08-11 10-PM,BTCUSDT,11503.27,11533,11480.02,11514.18,811.04,9334072.12
2019-08-11 09-PM,BTCUSDT,11435,11566.37,11402.57,11503.27,2042.8,23483919.93
2019-08-11 08-PM,BTCUSDT,11383.14,11450,11301,11435,1133.41,12912854.58
2019-08-11 07-PM,BTCUSDT,11397.01,11409.32,11369.89,11383.14,332.52,3786993.9
2019-08-11 06-PM,BTCUSDT,11372.02,11417,11360.69,11397.01,555.95,6334674.14
2019-08-11 05-PM,BTCUSDT,11402.03,11420,11360,11372.02,513.05,5845465.04
2019-08-11 04-PM,BTCUSDT,11378,11445.57,11362.77,11402.03,973.45,11110376.11
2019-08-11 03-PM,BTCUSDT,11388.74,11418.3,11350.01,11378,662.91,7543539.36
2019-08-11 02-PM,BTCUSDT,11404.22,11427,11372,11388.74,655.41,7468688.36
2019-08-11 01-PM,BTCUSDT,11458.91,11482.65,11366.81,11404.22,907.32,10358829.15
2019-08-11 12-PM,BTCUSDT,11469.94,11479.97,11406.53,11458.91,966.88,11067786.55
2019-08-11 11-AM,BTCUSDT,11342.82,11482.86,11342.82,11469.94,2136.92,24363820.15
2019-08-11 10-AM,BTCUSDT,11364,11400,11330,11342.82,1358.66,15443493.02
2019-08-11 09-AM,BTCUSDT,11324.68,11425,11112.11,11364,3653.8,41088066.01
2019-08-11 08-AM,BTCUSDT,11371.71,11392.64,11286.46,11324.68,960.84,10896026.28
2019-08-11 07-AM,BTCUSDT,11353.5,11376.99,11343.48,11371.71,905.05,10280920.56
2019-08-11 06-AM,BTCUSDT,11374.91,11395.23,11330.11,11353.5,669.35,7607472.65
2019-08-11 05-AM,BTCUSDT,11378.54,11391.99,11354.14,11374.91,625.36,7112394.03
2019-08-11 04-AM,BTCUSDT,11399.1,11424.94,11373.01,11378.54,572.19,6519276.04
2019-08-11 03-AM,BTCUSDT,11377.64,11421.05,11375.12,11399.1,446.91,5093968.98
2019-08-11 02-AM,BTCUSDT,11365.17,11399.99,11365,11377.64,514.58,5857007.17
2019-08-11 01-AM,BTCUSDT,11402.6,11411.84,11361.43,11365.17,747.89,8516092.75
2019-08-11 12-AM,BTCUSDT,11309.31,11465,11286.3,11402.6,1357.45,15445410.51
2019-08-10 11-PM,BTCUSDT,11323.43,11368.19,11307.92,11309.31,559.18,6342057.6
2019-08-10 10-PM,BTCUSDT,11335.54,11336.24,11270,11323.43,931.69,10531093.76
2019-08-10 09-PM,BTCUSDT,11346.21,11390.33,11275,11335.54,851.28,9640800.68
2019-08-10 08-PM,BTCUSDT,11329.1,11397,11316.96,11346.21,729.3,8286164.41
2019-08-10 07-PM,BTCUSDT,11376.13,11379,11270,11329.1,764.09,8664287.91
2019-08-10 06-PM,BTCUSDT,11383.37,11405,11325.91,11376.13,884.2,10055172.12
2019-08-10 05-PM,BTCUSDT,11359.42,11431.65,11272.1,11383.37,2064.46,23445598.6
2019-08-10 04-PM,BTCUSDT,11413.87,11422.91,11330,11359.42,1316.81,14990727.87
2019-08-10 03-PM,BTCUSDT,11430.38,11443.43,11381.82,11413.87,1697.72,19389301.77
2019-08-10 02-PM,BTCUSDT,11469.13,11469.13,11368.88,11430.38,2195.76,25075139.28
2019-08-10 01-PM,BTCUSDT,11449.35,11517,11412.48,11469.13,4019.31,46112760.38
2019-08-10 12-PM,BTCUSDT,11395.23,11472.22,11310,11449.35,4265.79,48557111.06
2019-08-10 11-AM,BTCUSDT,11875.71,11879.78,11350,11395.23,8173.95,94104710.42
2019-08-10 10-AM,BTCUSDT,11892.24,11904.36,11851,11875.71,748.19,8883384.19
2019-08-10 09-AM,BTCUSDT,11841.89,11897.65,11839.95,11892.24,740.37,8787286.45
2019-08-10 08-AM,BTCUSDT,11829.75,11884.94,11827.28,11841.89,665.21,7886632.06
2019-08-10 07-AM,BTCUSDT,11824.98,11856,11809.52,11829.75,599.46,7090759.07
2019-08-10 06-AM,BTCUSDT,11847.48,11879.26,11801.9,11824.98,1253.97,14848256.74
2019-08-10 05-AM,BTCUSDT,11803.62,11890.2,11794,11847.48,755.9,8954629.74
